program,run_index,rule_file,wordlist,size,time,memory,cpu,rules
PACK,0,expe/1rule/PACK_0_darkweb2017_top-10000_7500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_7500.txt,7500,4.91,13.45,33.94,13026
PACK,0,expe/1rule/PACK_0_darkweb2017_top-10000_5000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_5000.txt,5000,3.91,22.49,32.29,10837
PACK,0,expe/1rule/PACK_0_darkweb2017_top-10000_2500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_2500.txt,2500,2.43,21.17,27.19,6221
PACK,0,expe/1rule/PACK_0_darkweb2017_top-10000_1000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_1000.txt,1000,1.74,18.12,8.66,2921
PACK,0,expe/1rule/PACK_0_darkweb2017_top-10000.rule,dictionaries/wl/darkweb2017_top-10000.txt,9997,7.62,13.51,34.11,13763
RF,0,expe/1rule/RF_0_darkweb2017_top-10000_7500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_7500.txt,7500,429.32,1660.39,50.07,10994
RF,0,expe/1rule/RF_0_darkweb2017_top-10000_5000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_5000.txt,5000,184.07,808.98,50.56,7708
RF,0,expe/1rule/RF_0_darkweb2017_top-10000_2500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_2500.txt,2500,46.68,309.29,52.29,4410
RF,0,expe/1rule/RF_0_darkweb2017_top-10000_1000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_1000.txt,1000,7.95,167.61,61.70,1978
RF,0,expe/1rule/RF_0_darkweb2017_top-10000.rule,dictionaries/wl/darkweb2017_top-10000.txt,9997,736.51,2802.46,49.74,13580
RF,1,expe/1rule/RF_1_darkweb2017_top-10000_7500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_7500.txt,7500,33.77,882.64,52.91,8079
RF,1,expe/1rule/RF_1_darkweb2017_top-10000_5000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_5000.txt,5000,34.79,464.19,50.00,5529
RF,1,expe/1rule/RF_1_darkweb2017_top-10000_2500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_2500.txt,2500,10.32,217.15,52.73,2910
RF,1,expe/1rule/RF_1_darkweb2017_top-10000_1000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_1000.txt,1000,3.58,138.82,48.65,1366
RF,1,expe/1rule/RF_1_darkweb2017_top-10000.rule,dictionaries/wl/darkweb2017_top-10000.txt,9997,129.27,1461.40,48.65,10637
RF,2,expe/1rule/RF_2_darkweb2017_top-10000_7500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_7500.txt,7500,3.84,136.43,127.94,8897
RF,2,expe/1rule/RF_2_darkweb2017_top-10000_5000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_5000.txt,5000,1.13,129.00,142.33,6281
RF,2,expe/1rule/RF_2_darkweb2017_top-10000_2500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_2500.txt,2500,1.42,135.93,79.89,3591
RF,2,expe/1rule/RF_2_darkweb2017_top-10000_1000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_1000.txt,1000,1.22,134.79,48.99,1867
RF,2,expe/1rule/RF_2_darkweb2017_top-10000.rule,dictionaries/wl/darkweb2017_top-10000.txt,9997,2.63,139.50,202.11,11516
RF,3,expe/1rule/RF_3_darkweb2017_top-10000_7500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_7500.txt,7500,1.11,136.48,139.42,10140
RF,3,expe/1rule/RF_3_darkweb2017_top-10000_5000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_5000.txt,5000,1.11,127.96,78.90,7035
RF,3,expe/1rule/RF_3_darkweb2017_top-10000_2500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_2500.txt,2500,1.52,123.54,65.81,3854
RF,3,expe/1rule/RF_3_darkweb2017_top-10000_1000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_1000.txt,1000,1.22,136.26,46.29,1855
RF,3,expe/1rule/RF_3_darkweb2017_top-10000.rule,dictionaries/wl/darkweb2017_top-10000.txt,9997,2.94,140.98,77.08,12821
RFI,0,expe/1rule/RFI_0_darkweb2017_top-10000_7500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_7500.txt,7500,486.10,415.66,50.07,13136
RFI,0,expe/1rule/RFI_0_darkweb2017_top-10000_5000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_5000.txt,5000,411.50,300.34,49.92,13356
RFI,0,expe/1rule/RFI_0_darkweb2017_top-10000_2500.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_2500.txt,2500,331.52,262.61,49.68,12846
RFI,0,expe/1rule/RFI_0_darkweb2017_top-10000_1000.rule,dictionaries/wl/random_selected/darkweb2017_top-10000_1000.txt,1000,166.32,178.27,49.28,9421
RFI,0,expe/1rule/RFI_0_darkweb2017_top-10000.rule,dictionaries/wl/darkweb2017_top-10000.txt,9997,470.71,429.01,50.02,12187
